Height,Intensity,Time
3.261591615511656e-6,100,4
3.5454792822571886e-6,100,8
3.8534717276337366e-6,100,12
4.187508410192783e-6,100,16
4.549666047248081e-6,100,20
4.942164941310145e-6,100,24
5.367375273045923e-6,100,28
5.827822896484103e-6,100,32
6.326194234617442e-6,100,36
6.86534095776244e-6,100,40
7.448283431962211e-6,100,44
8.07821288415635e-6,100,48
8.758492607151586e-6,100,52
9.492657128315865e-6,100,56
1.0284409833726153e-5,100,60
1.1137618310604684e-5,100,64
1.2056307304607482e-5,100,68
1.3044649268121985e-5,100,72
1.4106951843263195e-5,100,76
1.5247642564970182e-5,100,80
1.647125038187764e-5,100,84
1.7782384089019704e-5,100,88
1.918570764311021e-5,100,92
2.0685912598966868e-5,100,96
2.228768789329106e-5,100,100
2.399568739776754e-5,100,104
2.5814495794902926e-5,100,108
2.774859344554066e-5,100,112
2.9802321099311647e-5,100,116
3.1979845262495766e-5,100,120
3.428512525093093e-5,100,124
3.6721882844626685e-5,100,128
3.929357543052982e-5,100,132
4.2003373452802276e-5,100,136
4.485414255402839e-5,100,140
4.7848430770514636e-5,100,144
5.098846053825727e-5,100,148
5.427612496673118e-5,100,152
5.7712987375201144e-5,100,156
6.130028274791513e-5,100,160
6.503891949978759e-5,100,164
6.892947983488678e-5,100,168
3.5502429361549374e-6,200,4
4.199265450610262e-6,200,8
4.963955254574337e-6,200,12
5.863757363883378e-6,200,16
6.920933412738372e-6,200,20
8.16079582606958e-6,200,24
9.611891714463486e-6,200,28
1.1306102325637123e-5,200,32
1.3278616733847928e-5,200,36
1.556772948575046e-5,200,40
1.8214407920441402e-5,200,44
2.126157581953333e-5,200,48
2.4753070850007554e-5,200,52
2.873225740427744e-5,200,56
3.32403175768499e-5,200,60
3.831429939572144e-5,200,64
4.398506925191263e-5,200,68
5.0275381897583926e-5,200,72
5.719832879507195e-5,200,76
6.475643448505403e-5,200,80
7.294162380111613e-5,200,84
8.173617344449034e-5,200,88
9.111459339534708e-5,200,92
0.00010104617412367775,200,96
0.00011149772247235726,200,100
0.00012243587167002926,200,104
0.00013382840974224662,200,108
0.0001456444122130361,200,112
0.00015785348422905608,200,116
0.00017042479070940428,200,120
0.00018332650897349715,200,124
0.0001965259553136975,200,128
0.00020999024504107441,200,132
0.0002236871743854449,200,136
0.00023758605094170265,200,140
0.00025165832181949877,200,144
0.00026587795869927364,200,148
0.00028022162417017576,200,152
0.00029466866983667847,200,156
0.00030920101918276377,200,160
0.00032380298033623,200,164
0.00033846102292173983,200,168
3.766097720298784e-6,300,4
4.724599904211502e-6,300,8
5.921960687357383e-6,300,12
7.414770727904631e-6,300,16
9.271341959456843e-6,300,20
1.1573161905149038e-5,300,24
1.4415936546214165e-5,300,28
1.7909794002015836e-5,300,32
2.2178055264481458e-5,300,36
2.7353844099492872e-5,300,40
3.357380952698485e-5,300,44
4.096852803664772e-5,300,48
4.964989998735671e-5,300,52
5.969707460982548e-5,300,56
7.114381305956357e-5,300,60
8.397102278892053e-5,300,64
9.810769862401233e-5,300,68
0.00011344146698197353,300,72
0.00012983690763672948,300,76
0.00014715660902202765,300,80
0.00016527740230824243,300,84
0.00018409512931977758,300,88
0.00020351863090627075,300,92
0.00022346176464682686,300,96
0.00024384072849356652,300,100
0.0002645762388277327,300,104
0.00028559674394721193,300,108
0.0003068403845119465,300,112
0.00032825539856030835,300,116
0.0003497994702100547,300,120
0.00037143856466831946,300,124
0.00039314561736847694,300,128
0.0004148992780460072,300,132
0.00043668279972661504,300,136
0.000458483099807643,300,140
0.00048028998870283234,300,144
0.0005020955476952392,300,148
0.0005238936333079447,300,152
0.0005456794858170188,300,156
0.0005674494218675163,300,160
0.000589200594146307,300,164
0.0006109308040507356,300,168
3.942554007206856e-6,500,4
5.1802438162611035e-6,500,8
6.804599092541015e-6,500,12
8.934697144828032e-6,500,16
1.1724605317808486e-5,500,20
1.537192324445446e-5,500,24
2.012652103878818e-5,500,28
2.6297150816740934e-5,500,32
3.42510741983735e-5,500,36
4.439826688918515e-5,500,40
5.7149124681485085e-5,500,44
